
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   3116 Services                   0      3,360 K
SupportAssistAgent.exe        3368 Services                   0     33,944 K
svchost.exe                  17648 Services                   0      8,012 K
DDVDataCollector.exe          2044 Services                   0     17,072 K
DDVCollectorSvcApi.exe        5836 Services                   0         28 K
svchost.exe                   6996 Services                   0      1,176 K
svchost.exe                  15740 Services                   0      2,392 K
WmiApSrv.exe                 19124 Services                   0      1,652 K
svchost.exe                  14736 Services                   0      2,220 K
csrss.exe                     6852 Console                    3      2,312 K
winlogon.exe                 11696 Console                    3      1,544 K
fontdrvhost.exe              12476 Console                    3        704 K
dwm.exe                      10448 Console                    3     56,404 K
NVDisplay.Container.exe      13252 Console                    3     15,048 K
svchost.exe                  19084 Services                   0        904 K
dptf_helper.exe               9128 Console                    3      1,140 K
Dell.TechHub.Instrumentat     2296 Console                    3     25,376 K
sihost.exe                   14080 Console                    3     15,888 K
svchost.exe                   5876 Console                    3      1,324 K
svchost.exe                  18044 Console                    3     11,400 K
igfxEM.exe                   19944 Console                    3      1,948 K
svchost.exe                  15508 Console                    3      1,072 K
svchost.exe                   2172 Console                    3     16,336 K
taskhostw.exe                16724 Console                    3      6,184 K
SSScheduler.exe               7104 Console                    3      3,100 K
McUpdaterModule.exe          10944 Console                    3      1,696 K
explorer.exe                  1916 Console                    3    148,968 K
svchost.exe                   2720 Console                    3     20,660 K
svchost.exe                   3272 Services                   0      1,340 K
RtkAudUService64.exe          6104 Console                    3      1,052 K
StartMenuExperienceHost.e     1676 Console                    3     15,596 K
SearchHost.exe               19388 Console                    3      7,948 K
RuntimeBroker.exe             1808 Console                    3      9,668 K
Widgets.exe                   6424 Console                    3     30,368 K
svchost.exe                  17568 Console                    3      2,436 K
RuntimeBroker.exe             1416 Console                    3      8,000 K
TeamViewer.exe               18528 Console                    3     13,212 K
crashpad_handler.exe         11936 Console                    3        624 K
dllhost.exe                  18072 Console                    3      2,112 K
ctfmon.exe                   17768 Console                    3     12,720 K
chrome.exe                   10628 Console                    3    210,028 K
chrome.exe                    7496 Console                    3      2,548 K
chrome.exe                    8412 Console                    3    151,596 K
chrome.exe                   15728 Console                    3     38,648 K
chrome.exe                   11416 Console                    3     12,340 K
svchost.exe                    616 Console                    3      7,948 K
TextInputHost.exe            14400 Console                    3     21,788 K
svchost.exe                   1924 Console                    3      3,840 K
tv_w32.exe                   14128 Console                    3        400 K
tv_x64.exe                   16980 Console                    3        192 K
crashpad_handler.exe         19964 Console                    3        624 K
SecurityHealthSystray.exe     7152 Console                    3        428 K
WavesSvc64.exe               17940 Console                    3      8,476 K
svchost.exe                  14044 Services                   0      1,184 K
svchost.exe                   7176 Services                   0      1,092 K
svchost.exe                  15200 Services                   0      2,888 K
dasHost.exe                  17048 Services                   0        488 K
RtkAudUService64.exe         14492 Console                    3      2,640 K
ShellExperienceHost.exe       7016 Console                    3     39,696 K
chrome.exe                   10312 Console                    3     10,336 K
chrome.exe                    9924 Console                    3      6,016 K
RuntimeBroker.exe             4864 Console                    3     15,164 K
OneDrive.exe                  6844 Console                    3     78,472 K
CCleaner64.exe               15128 Console                    3     15,968 K
vmware-tray.exe               2856 Console                    3        904 K
Viber.exe                     8652 Console                    3    122,600 K
svchost.exe                  16152 Console                    3      5,520 K
Loom.exe                      7632 Console                    3     30,008 K
Loom.exe                      6652 Console                    3        800 K
Loom.exe                     16584 Console                    3      6,704 K
Loom.exe                     12708 Console                    3     11,988 K
Loom.exe                     11828 Console                    3      9,740 K
loom-recorder-production.     2176 Console                    3      1,808 K
conhost.exe                  18724 Console                    3        168 K
